"","id","GDPINH_2016"
"882","FRC21",27800
"883","FRC22",24700
"884","FRC23",20200
"885","FRC24",26700
"886","FRD",27800
"887","FRD1",26500
"888","FRD11",29500
"889","FRD12",24100
"890","FRD13",23300
"891","FRD2",28800
"892","FRD21",23400
"893","FRD22",31400
"894","FRE",26300
"895","FRE1",27100
"896","FRE11",29500
"897","FRE12",22700
"898","FRE2",24700
"899","FRE21",21700
"900","FRE22",25800
"901","FRE23",25900
"902","FRF",27500
"903","FRF1",30900
"904","FRF11",33300
"905","FRF12",27400
"906","FRF2",27600
"907","FRF21",21800
"908","FRF22",24900
"909","FRF23",32700
"910","FRF24",24400
"911","FRF3",24600
"912","FRF31",26100
"913","FRF32",20900
"914","FRF33",24700
"915","FRF34",23600
"916","FRG",29600
"917","FRG0",29600
"918","FRG01",34100
"919","FRG02",26800
"920","FRG03",28000
"921","FRG04",26000
"922","FRG05",27200
"923","FRH",28100
"924","FRH0",28100
"925","FRH01",24800
"926","FRH02",26900
"927","FRH03",33100
"928","FRH04",25200
"929","FRI",28000
"930","FRI1",29400
"931","FRI11",22400
"932","FRI12",33100
"933","FRI13",24600
"934","FRI14",24800
"935","FRI15",30300
"936","FRI2",24600
"937","FRI21",25100
"938","FRI22",20100
"939","FRI23",25800
"940","FRI3",26700
"941","FRI31",28300
"942","FRI32",24500
"943","FRI33",28000
"944","FRI34",27600
"945","FRJ",27900
"946","FRJ1",25000
"947","FRJ11",21600
"948","FRJ12",23000
"949","FRJ13",28500
"950","FRJ14",24000
"951","FRJ15",22600
"952","FRJ2",30600
"953","FRJ21",20900
"954","FRJ22",25300
"955","FRJ23",39900
"956","FRJ24",21500
"957","FRJ25",25200
"958","FRJ26",24200
"959","FRJ27",22200
"960","FRJ28",21400
"961","FRK",32200
"962","FRK1",26400
"963","FRK11",24000
"964","FRK12",22900
"965","FRK13",21900
"966","FRK14",30100
"967","FRK2",33400
"968","FRK21",25200
"969","FRK22",21500
"970","FRK23",30700
"971","FRK24",31700
"972","FRK25",26800
"973","FRK26",44600
"974","FRK27",33900
"975","FRK28",29500
"976","FRL",31200
"977","FRL0",31200
"978","FRL01",24000
"979","FRL02",25200
"980","FRL03",34800
"981","FRL04",34200
"982","FRL05",24200
"983","FRL06",30200
"984","FRM",26200
"985","FRM0",26200
"986","FRM01",28800
"987","FRM02",24000
"988","FRY",19500
